buyer_id,first_seen,source,dept,opt_in_email,opt_in_push,contactable
B00001,2024-08-14,Tournée 2024,75,True,False,True
B00002,2024-07-25,Tournée 2024,75,True,False,True
B00003,2024-08-03,Tournée 2024,75,False,True,False
B00004,2024-07-20,Tournée 2024,75,False,True,False
B00005,2024-08-12,Tournée 2024,75,False,False,False
B00006,2024-07-20,Tournée 2024,75,True,False,True
B00007,2024-07-27,Tournée 2024,75,True,False,True
B00008,2024-09-18,Tournée 2024,35,True,False,True
B00009,2024-09-07,Tournée 2024,75,False,False,False
B00010,2024-07-21,Tournée 2024,75,True,False,True
B00011,2024-08-17,Tournée 2024,44,False,False,False
B00012,2024-08-31,Tournée 2024,75,True,False,True
B00013,2024-09-18,Tournée 2024,75,True,False,True
B00014,2024-07-17,Tournée 2024,75,True,False,True
B00015,2024-09-15,Tournée 2024,75,True,False,True
B00016,2024-07-18,Tournée 2024,75,True,False,True
B00017,2024-09-01,Tournée 2024,75,True,True,True
B00018,2024-09-08,Tournée 2024,75,True,False,True
B00019,2024-08-24,Tournée 2024,75,True,False,True
B00020,2024-07-16,Tournée 2024,75,False,False,False
B00021,2024-08-31,Tournée 2024,75,True,False,True
B00022,2024-08-21,Tournée 2024,75,False,False,False
B00023,2024-09-19,Tournée 2024,75,True,True,True
B00024,2024-07-28,Tournée 2024,75,True,False,True
B00025,2024-08-06,Tournée 2024,75,True,False,True
B00026,2024-07-24,Tournée 2024,75,False,False,False
B00027,2024-08-04,Tournée 2024,75,False,False,False
B00028,2024-08-26,Tournée 2024,31,False,False,False
B00029,2024-08-27,Tournée 2024,75,True,False,True
B00030,2024-08-26,Tournée 2024,75,False,False,False
B00031,2024-08-23,Tournée 2024,75,False,False,False
B00032,2024-07-29,Tournée 2024,75,True,True,True
B00033,2024-08-28,Tournée 2024,75,True,False,True
B00034,2024-08-09,Tournée 2024,67,True,False,True
B00035,2024-09-14,Tournée 2024,75,True,True,True
B00036,2024-09-08,Tournée 2024,75,True,False,True
B00037,2024-08-16,Tournée 2024,33,False,False,False
B00038,2024-08-05,Tournée 2024,75,True,True,True
B00039,2024-08-05,Tournée 2024,33,True,False,True
B00040,2024-07-29,Tournée 2024,75,False,False,False
B00041,2024-07-14,Tournée 2024,75,False,False,False
B00042,2024-08-07,Tournée 2024,75,True,False,True
B00043,2024-08-26,Tournée 2024,75,True,False,True
B00044,2024-08-10,Tournée 2024,BE,True,False,True
B00045,2024-07-23,Tournée 2024,44,False,False,False
B00046,2024-08-08,Tournée 2024,75,False,False,False
B00047,2024-09-19,Tournée 2024,75,True,False,True
B00048,2024-09-08,Tournée 2024,75,True,True,True
B00049,2024-08-20,Tournée 2024,75,True,False,True
