order_id,buyer_id,show_id,order_date,channel,tier,qty,unit_price,fee_per_ticket,gross,tour
O000001,B00001,P01,2024-09-20,Site officiel,Normal,4,24.0,0.0,96.0,PREMIER CERCLE 2024
O000002,B00002,P01,2024-09-25,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000003,B00001,P01,2024-09-24,Site officiel,Normal,3,24.0,0.0,72.0,PREMIER CERCLE 2024
O000004,B00003,P01,2024-09-25,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000005,B00004,P01,2024-09-06,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000006,B00005,P01,2024-07-21,Site officiel,Normal,3,24.0,0.0,72.0,PREMIER CERCLE 2024
O000007,B00006,P01,2024-09-16,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000008,B00007,P01,2024-08-24,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000009,B00008,P01,2024-08-01,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000010,B00009,P01,2024-09-07,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000011,B00010,P01,2024-09-13,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000012,B00011,P01,2024-07-17,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000013,B00012,P01,2024-09-11,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000014,B00013,P01,2024-07-18,Site officiel,Normal,3,24.0,0.0,72.0,PREMIER CERCLE 2024
O000015,B00014,P01,2024-07-14,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000016,B00015,P01,2024-09-15,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000017,B00003,P01,2024-09-19,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000018,B00009,P01,2024-09-23,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000019,B00016,P01,2024-07-29,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000020,B00005,P01,2024-08-21,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000021,B00017,P01,2024-07-19,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000022,B00018,P01,2024-07-19,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000023,B00019,P01,2024-08-31,Site officiel,Normal,3,24.0,0.0,72.0,PREMIER CERCLE 2024
O000024,B00020,P01,2024-08-06,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000025,B00005,P01,2024-09-26,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000026,B00021,P01,2024-07-24,Site officiel,Normal,4,24.0,0.0,96.0,PREMIER CERCLE 2024
O000027,B00022,P01,2024-08-31,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000028,B00023,P01,2024-09-09,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000029,B00024,P01,2024-08-22,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000030,B00025,P01,2024-07-13,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000031,B00020,P01,2024-09-01,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000032,B00026,P01,2024-08-04,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000033,B00027,P01,2024-08-28,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000034,B00028,P01,2024-08-26,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000035,B00029,P01,2024-08-28,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000036,B00006,P01,2024-09-20,Site officiel,Normal,4,24.0,0.0,96.0,PREMIER CERCLE 2024
O000037,B00030,P01,2024-07-20,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000038,B00031,P01,2024-07-13,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000039,B00002,P01,2024-07-27,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000040,B00020,P01,2024-07-31,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000041,B00032,P01,2024-07-20,Site officiel,Normal,4,24.0,0.0,96.0,PREMIER CERCLE 2024
O000042,B00033,P01,2024-08-09,Site officiel,Normal,3,24.0,0.0,72.0,PREMIER CERCLE 2024
O000043,B00034,P01,2024-07-12,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000044,B00035,P01,2024-08-25,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000045,B00036,P01,2024-07-30,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000046,B00037,P01,2024-07-22,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000047,B00038,P01,2024-07-26,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000048,B00022,P01,2024-07-23,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000049,B00039,P01,2024-08-28,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000050,B00040,P01,2024-09-01,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000051,B00041,P01,2024-07-12,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000052,B00042,P01,2024-09-22,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000053,B00036,P01,2024-07-21,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000054,B00043,P01,2024-09-10,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000055,B00044,P01,2024-08-07,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000056,B00008,P01,2024-07-23,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000057,B00045,P01,2024-08-30,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000058,B00046,P01,2024-08-20,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000059,B00047,P01,2024-08-23,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000060,B00045,P01,2024-08-29,Site officiel,Normal,3,24.0,0.0,72.0,PREMIER CERCLE 2024
O000061,B00048,P01,2024-09-22,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000062,B00049,P01,2024-07-10,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000063,B00050,P01,2024-08-23,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000064,B00051,P01,2024-09-15,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000065,B00010,P01,2024-09-09,Site officiel,Normal,3,24.0,0.0,72.0,PREMIER CERCLE 2024
O000066,B00052,P01,2024-09-15,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000067,B00053,P01,2024-07-19,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000068,B00054,P01,2024-07-09,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000069,B00055,P01,2024-08-05,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000070,B00008,P01,2024-07-15,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000071,B00056,P01,2024-07-22,Site officiel,Normal,3,24.0,0.0,72.0,PREMIER CERCLE 2024
O000072,B00057,P01,2024-09-16,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000073,B00058,P01,2024-09-13,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000074,B00059,P01,2024-09-25,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000075,B00060,P01,2024-08-06,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000076,B00061,P01,2024-09-03,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000077,B00062,P01,2024-08-24,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000078,B00063,P01,2024-09-24,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000079,B00064,P01,2024-08-28,Site officiel,Normal,2,24.0,0.0,48.0,PREMIER CERCLE 2024
O000080,B00044,P01,2024-08-06,Site officiel,Normal,1,24.0,0.0,24.0,PREMIER CERCLE 2024
O000081,B00065,P01,2024-07-28,Site officiel,Normal,3,24.0,0.0,72.0,PREMIER CERCLE 2024
