buyer_id,recency,frequency,monetary,R,F,M,segment,contactable,opt_in_email,opt_in_push,source,dept
B00001,40,4,288.3,3,4,4,Noyau dur,True,True,False,Tournée 2024,75
B00002,49,6,229.52,2,4,4,Noyau dur,True,True,False,Tournée 2024,75
B00003,678,3,117.0,1,3,4,À réactiver,False,False,True,Tournée 2024,75
B00004,697,1,24.0,1,1,1,À réactiver,False,False,True,Tournée 2024,75
B00005,677,3,168.0,1,3,4,À réactiver,False,False,False,Tournée 2024,75
B00006,679,3,240.0,1,3,4,À réactiver,True,True,False,Tournée 2024,75
B00007,710,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00008,699,4,188.0,1,4,4,À réactiver,True,True,False,Tournée 2024,35
B00009,680,2,72.0,1,2,3,À réactiver,False,False,False,Tournée 2024,75
B00010,690,2,96.0,1,2,4,À réactiver,True,True,False,Tournée 2024,75
B00011,47,3,153.2,2,3,4,Noyau dur,False,False,False,Tournée 2024,44
B00012,692,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00013,726,2,96.0,1,2,4,À réactiver,True,True,False,Tournée 2024,75
B00014,705,3,144.0,1,3,4,À réactiver,True,True,False,Tournée 2024,75
B00015,671,2,68.0,1,2,3,À réactiver,True,True,False,Tournée 2024,75
B00016,56,2,78.0,1,2,4,Noyau dur,True,True,False,Tournée 2024,75
B00017,684,3,91.0,1,3,4,À réactiver,True,True,True,Tournée 2024,75
B00018,746,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00019,63,3,184.0,1,3,4,Noyau dur,True,True,False,Tournée 2024,75
B00020,698,5,210.0,1,4,4,À réactiver,False,False,False,Tournée 2024,75
B00021,741,1,96.0,1,1,4,À réactiver,True,True,False,Tournée 2024,75
B00022,48,4,196.0,2,4,4,Noyau dur,False,False,False,Tournée 2024,75
B00023,56,2,76.8,1,2,4,Noyau dur,True,True,True,Tournée 2024,75
B00024,62,2,104.32,1,2,4,Noyau dur,True,True,False,Tournée 2024,75
B00025,668,3,110.0,1,3,4,À réactiver,True,True,False,Tournée 2024,75
B00026,730,1,48.0,1,1,2,À réactiver,False,False,False,Tournée 2024,75
B00027,684,2,92.0,1,2,4,À réactiver,False,False,False,Tournée 2024,75
B00028,695,3,118.0,1,3,4,À réactiver,False,False,False,Tournée 2024,31
B00029,686,3,112.0,1,3,4,À réactiver,True,True,False,Tournée 2024,75
B00030,745,1,48.0,1,1,2,À réactiver,False,False,False,Tournée 2024,75
